City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Bani Walid,LY,2020-08-25 06:00:47,31.76,13.99,72.36,66,0,10.33,clear sky
210,Rio Gallegos,AR,2020-08-25 05:55:02,-51.62,-69.22,30.2,86,0,10.29,clear sky
211,Okhotsk,RU,2020-08-25 05:53:43,59.38,143.3,57.42,75,70,20.0,light rain
212,Iranshahr,IR,2020-08-25 06:00:48,27.2,60.68,93.2,46,75,6.93,broken clouds
213,Kendari,ID,2020-08-25 06:00:48,-3.94,122.5,84.0,61,47,8.59,scattered clouds
214,Shakawe,BW,2020-08-25 06:00:48,-18.37,21.85,64.17,35,0,8.43,clear sky
215,Santa Rosa,PH,2020-08-25 06:00:48,14.31,121.11,91.0,66,7,17.22,clear sky
216,Roald,NO,2020-08-25 05:53:36,62.58,6.13,51.8,76,75,14.99,broken clouds
217,Atambua,ID,2020-08-25 06:00:49,-9.11,124.89,83.97,36,0,5.93,clear sky
218,Guerrero Negro,MX,2020-08-25 05:53:58,27.98,-114.06,72.88,83,0,16.75,clear sky
219,Saskylakh,RU,2020-08-25 05:54:15,71.92,114.08,61.52,46,95,14.34,overcast clouds
220,Sakakah,SA,2020-08-25 06:00:49,29.97,40.21,86.0,16,0,4.7,clear sky
221,Maua,BR,2020-08-25 06:00:50,-23.67,-46.46,52.0,93,20,3.36,few clouds
222,Aginskoye,RU,2020-08-25 06:00:50,51.1,114.53,66.22,56,28,7.65,scattered clouds
223,Saint Pete Beach,US,2020-08-25 06:00:50,27.73,-82.74,82.4,88,1,19.46,clear sky
224,Lorengau,PG,2020-08-25 05:55:03,-2.02,147.27,81.81,81,76,10.8,light rain
225,Young,UY,2020-08-25 06:00:50,-32.68,-57.63,66.0,65,100,4.0,overcast clouds
226,Kijang,KR,2020-08-25 05:57:44,35.24,129.21,95.0,47,75,6.93,broken clouds
227,Kinablangan,PH,2020-08-25 06:00:51,7.69,126.55,86.99,68,36,7.54,scattered clouds
228,Praia,CV,2020-08-25 05:53:45,14.92,-23.51,78.8,88,40,3.36,scattered clouds
229,Baoding,CN,2020-08-25 05:54:37,38.85,115.49,90.64,47,92,1.9,overcast clouds
230,Serebryansk,KZ,2020-08-25 06:00:51,49.69,83.29,69.8,73,75,2.24,broken clouds
231,Curup,ID,2020-08-25 06:00:52,-3.47,102.53,84.2,39,99,5.68,overcast clouds
232,Ustrzyki Dolne,PL,2020-08-25 06:00:52,49.43,22.59,57.99,94,98,1.99,light rain
233,Belmonte,BR,2020-08-25 05:56:41,-15.86,-38.88,60.8,87,30,6.93,scattered clouds
234,Lubango,AO,2020-08-25 06:00:52,-14.92,13.49,60.89,57,0,2.15,clear sky
235,Norman Wells,CA,2020-08-25 05:53:45,65.28,-126.83,59.0,67,40,5.82,scattered clouds
236,Balkhash,KZ,2020-08-25 06:00:53,46.84,74.98,71.6,43,40,22.37,scattered clouds
237,Khatanga,RU,2020-08-25 05:54:05,71.97,102.5,69.13,47,40,6.58,scattered clouds
238,Gushikawa,JP,2020-08-25 05:54:33,26.35,127.87,86.0,84,40,17.22,heavy intensity drizzle
239,Banjar,ID,2020-08-25 05:54:38,-8.19,114.97,84.2,74,40,11.41,scattered clouds
240,Roanoke,US,2020-08-25 06:00:54,37.27,-79.94,75.2,78,1,9.17,clear sky
241,Astana,KZ,2020-08-25 06:00:46,51.18,71.45,64.4,55,75,6.71,broken clouds
242,Kathmandu,NP,2020-08-25 05:59:36,27.72,85.32,82.4,74,75,2.24,broken clouds
243,Huarmey,PE,2020-08-25 06:00:55,-10.07,-78.15,59.47,85,19,9.04,few clouds
244,Akmene,LT,2020-08-25 06:00:55,56.25,22.75,59.0,93,75,3.36,broken clouds
245,Porto Novo,BJ,2020-08-25 05:53:05,6.5,2.6,75.2,94,90,9.17,overcast clouds
246,Hasaki,JP,2020-08-25 05:55:04,35.73,140.83,93.0,66,40,8.05,scattered clouds
247,Horsham,GB,2020-08-25 06:00:56,51.06,-0.33,60.8,87,40,11.41,light rain
248,Fallon,US,2020-08-25 06:00:56,39.47,-118.78,79.0,44,75,5.82,broken clouds
249,Kandrian,PG,2020-08-25 06:00:56,-6.22,149.55,79.79,84,94,8.39,light rain
250,Civitanova Marche,IT,2020-08-25 06:00:56,43.31,13.72,71.6,83,6,2.24,clear sky
251,Muhororo,UG,2020-08-25 06:00:56,0.94,30.76,69.44,84,64,1.52,broken clouds
252,Faanui,PF,2020-08-25 05:53:34,-16.48,-151.75,77.16,82,8,19.39,light rain
253,East London,ZA,2020-08-25 05:53:37,-33.02,27.91,59.0,93,100,9.17,overcast clouds
254,Dutlwe,BW,2020-08-25 06:00:57,-23.98,23.9,61.36,33,0,8.88,clear sky
255,Atar,MR,2020-08-25 05:58:11,20.52,-13.05,82.27,52,0,11.5,clear sky
256,Mananjary,MG,2020-08-25 06:00:57,-21.22,48.33,73.71,72,62,6.78,broken clouds
257,Los Llanos De Aridane,ES,2020-08-25 05:53:29,28.66,-17.92,80.01,78,15,12.75,few clouds
258,Lisala,CD,2020-08-25 06:00:58,2.15,21.52,71.76,94,98,0.96,overcast clouds
259,Bowen,AU,2020-08-25 06:00:58,-20.02,148.23,75.2,47,9,16.11,clear sky
260,San Ramon,US,2020-08-25 06:00:59,37.78,-121.98,75.0,64,1,9.17,smoke
261,Northam,GB,2020-08-25 05:55:20,51.03,-4.22,63.0,95,100,18.99,light rain
262,Bethel,US,2020-08-25 05:54:03,41.37,-73.41,73.4,78,1,4.7,clear sky
263,Rock Sound,BS,2020-08-25 06:00:59,24.9,-76.2,83.14,81,3,14.81,clear sky
264,Touros,BR,2020-08-25 05:54:57,-5.2,-35.46,68.0,100,6,4.7,clear sky
265,Oranjemund,NA,2020-08-25 05:53:41,-28.55,16.43,51.42,90,0,1.41,clear sky
266,Sechura,PE,2020-08-25 05:54:49,-5.56,-80.82,60.62,83,0,8.68,clear sky
267,Vostok,RU,2020-08-25 06:01:00,46.49,135.88,58.86,99,100,4.88,overcast clouds
268,Pangnirtung,CA,2020-08-25 05:55:12,66.15,-65.71,45.01,84,100,1.66,light rain
269,Whitefish,US,2020-08-25 06:01:01,48.41,-114.34,71.6,43,1,6.93,smoke
270,Sorong,ID,2020-08-25 06:01:01,-0.88,131.25,82.85,79,43,12.15,moderate rain
271,Izumo,JP,2020-08-25 06:01:01,35.37,132.77,93.2,59,20,12.75,few clouds
