City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
388,Nalut,LY,75.22,clear sky,30.33,10.85,
390,Sadri,IN,79.74,overcast clouds,25.18,73.43,Chandra Hill Resort
391,Jalu,LY,78.31,clear sky,29.03,21.55,Jalu Hotel
392,Cabo San Lucas,MX,80.01,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
404,Allapalli,IN,86.72,light rain,19.42,80.07,Hotel IK Residency
406,Sirjan,IR,88.09,clear sky,29.45,55.68,هتل عطرسیب سیرجان
407,Buala,SB,83.95,light rain,-8.14,159.59,Maringe Lagoon Lodge
412,Dengfeng,CN,87.4,overcast clouds,34.46,113.03,Songshan Dihao Hotel
418,Wanlaweyn,SO,80.64,broken clouds,2.62,44.89,Haji Qasim Hotel
421,Isangel,VU,75.2,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
423,Joshimath,IN,77.02,light rain,30.57,79.57,Shivalik Camps & Resort
424,Mogadishu,SO,77.0,broken clouds,2.04,45.34,Hotel Juba
433,Kousseri,CM,77.0,thunderstorm with rain,12.08,15.03,Résidence le Palmier
437,Kropotkin,RU,78.82,clear sky,45.44,40.58,Hotel Europe Kropotkin
449,Denpasar,ID,84.2,scattered clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
451,Cockburn Town,TC,83.01,clear sky,21.46,-71.14,Osprey Beach Hotel
453,Muroto,JP,82.4,light intensity shower rain,33.28,134.15,Oota Ryokan
454,Banda Aceh,ID,86.36,broken clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
456,Son La,VN,86.41,light rain,21.32,103.9,Galaxy Grand Hotel
458,Malakal,SS,76.53,overcast clouds,9.53,31.66,Nile Palace Hotel
460,Nanzhang,CN,87.89,overcast clouds,31.78,111.84,Longmenkezhan
462,Contai,IN,86.86,moderate rain,21.78,87.75,Hotel Hindusthan
463,Manggar,ID,84.7,few clouds,-2.88,108.27,Guest Hotel
465,Dagana,MR,82.36,broken clouds,16.52,-15.51,FORT DE DAGANA ANCIEN FORT FAIDHERBE
466,Ankang,CN,86.2,broken clouds,32.68,109.02,安琪酒店
469,Yeppoon,AU,78.8,broken clouds,-23.13,150.73,Villa Mar Colina
470,Tabou,CI,75.11,overcast clouds,4.42,-7.35,hotêl doufoulougou
471,Kavaratti,IN,84.2,few clouds,10.57,72.64,Bismillah Hotel And Lodging
472,Beipiao,CN,86.68,overcast clouds,41.79,120.78,Beipiao Hotel
473,Kashan,IR,75.2,clear sky,33.98,51.44,Manouchehri Traditional House And Hotel
478,Hetauda,NP,82.4,broken clouds,27.43,85.03,Regal Hetauda Resort
483,Akyab,MM,82.44,moderate rain,20.15,92.9,Hotel Memory
485,Nandaime,NI,80.6,scattered clouds,11.76,-86.05,Hotel Restaurante Plaza Manchon
487,Tura,IN,84.09,moderate rain,25.52,90.22,Hotel RIKMAN Continental
490,Shaunavon,CA,76.77,light rain,49.65,-108.42,Bear's Den Lodge
495,Campohermoso,ES,77.0,few clouds,36.94,-2.13,Hotel Balisa
498,Teluk Nibung,ID,88.03,light rain,3.0,99.82,PONDOK FELISHA JUICE
499,Lazaro Cardenas,MX,79.43,light rain,17.96,-102.2,Collection O Hotel Quinta Antigua
500,Nortelandia,BR,79.0,broken clouds,-14.45,-56.8,Hotel Karysmã
504,Meulaboh,ID,87.66,clear sky,4.14,96.13,Kost Pria
506,Saint-Joseph,RE,75.2,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
508,Bucerias,MX,82.4,overcast clouds,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
514,Gizo,SB,84.13,light rain,-8.1,156.84,Imagination Island
515,Merauke,ID,81.07,broken clouds,-8.47,140.33,
524,Mangrol,IN,84.07,light rain,21.12,70.12,Hotel The Royal Honours
527,Baculin,PH,86.79,light rain,7.45,126.58,Shovy's Cove
528,Mushie,CD,75.92,light rain,-3.02,16.9,
529,Songjianghe,CN,76.91,light rain,42.19,127.48,Sijisheng Fashion Guest House
532,Komsomolskiy,UZ,84.2,clear sky,40.43,71.72,Ikathouse
537,Sinnamary,GF,77.85,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
539,Wewak,PG,83.3,broken clouds,-3.55,143.63,In Wewak Boutique Hotel
540,Tukrah,LY,80.4,clear sky,32.53,20.58,استراحة لاقروتا
541,Alofi,NU,75.2,broken clouds,-19.06,-169.92,Taloa Heights
544,Bhayavadar,IN,84.25,moderate rain,21.85,70.25,Ami pan
545,Tual,ID,79.72,few clouds,-5.67,132.75,Grand Vilia Hotel
549,Sibu,MY,89.6,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
550,Cairns,AU,80.01,overcast clouds,-16.92,145.77,Mantra Trilogy Cairns
551,Hirara,JP,87.8,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
555,Marawi,PH,86.0,light rain,8.0,124.29,Salihmaruhom
561,Kulhudhuffushi,MV,82.96,broken clouds,6.62,73.07,Haajy Guest House 1
562,Bani,DO,77.0,scattered clouds,18.28,-70.33,Hospedaje Henriquez
565,Ahuimanu,US,82.4,few clouds,21.44,-157.84,Paradise Bay Resort
567,Vaitape,PF,77.9,light rain,-16.52,-151.75,Conrad Bora Bora Nui
569,Sibolga,ID,86.27,light rain,1.74,98.78,Hotel Syariah CN Darussalam
571,Saint Anthony,US,77.0,broken clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
572,Namatanai,PG,83.25,scattered clouds,-3.67,152.43,Namatanai Hotel
574,Araouane,ML,84.97,overcast clouds,18.9,-3.53,
576,Dandong,CN,81.36,light rain,40.13,124.39,Yiranju Farmstay
577,Kilindoni,TZ,76.75,broken clouds,-7.91,39.67,Bustani B&B
579,Mandera,KE,82.35,broken clouds,3.94,41.87,Kornesh Hotel and Lodging
583,Cravo Norte,CO,75.96,broken clouds,6.3,-70.2,Hotel El Puerto
585,Reno,US,78.01,clear sky,39.53,-119.81,Eldorado Resort Casino
586,Sampit,ID,83.52,moderate rain,-2.53,112.95,Aquarius Boutique Hotel Sampit
590,Avera,US,75.2,light rain,33.19,-82.53,
599,Moa,CU,80.55,light rain,20.66,-74.94,Renta en Divisa
608,Wilmington,US,78.8,scattered clouds,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
609,Eyl,SO,85.1,broken clouds,7.98,49.82,Amiin Hotel
619,Helena,US,75.2,haze,46.59,-112.04,Holiday Inn Express & Suites Helena
620,Garissa,KE,78.66,broken clouds,-0.45,39.64,Sharif Plaza Hotel
