City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Kihei,US,2020-08-24 01:39:54,20.79,-156.47,89.6,46,40,23.04
156,Mahebourg,MU,2020-08-24 01:37:55,-20.41,57.7,71.6,73,40,16.11
157,Imbituba,BR,2020-08-24 01:39:54,-28.24,-48.67,59.0,100,75,2.24
158,Castro,BR,2020-08-24 01:39:54,-24.79,-50.01,47.03,94,44,11.86
159,Lata,PT,2020-08-24 01:39:55,40.16,-8.33,66.0,84,14,2.3
160,Salalah,OM,2020-08-24 01:39:55,17.02,54.09,75.2,100,90,5.82
161,Pukhrayan,IN,2020-08-24 01:39:55,26.23,79.85,80.69,81,4,9.78
162,Tehri,IN,2020-08-24 01:39:56,30.38,78.48,77.0,94,40,0.34
163,Oyem,GA,2020-08-24 01:39:56,1.6,11.58,67.46,98,100,2.24
164,Mozhga,RU,2020-08-24 01:39:56,56.44,52.23,55.27,96,99,4.7
165,Rocha,UY,2020-08-24 01:38:26,-34.48,-54.33,50.25,92,0,10.33
166,Butaritari,KI,2020-08-24 01:38:46,3.07,172.79,83.5,69,100,9.42
167,Neyshabur,IR,2020-08-24 01:39:57,36.21,58.8,68.49,52,0,4.81
168,Nganjuk,ID,2020-08-24 01:39:57,-7.61,111.9,85.98,50,48,5.03
169,Dukat,RU,2020-08-24 01:39:36,62.55,155.55,34.14,93,100,5.12
170,San Cristobal,VE,2020-08-24 01:36:21,7.77,-72.22,66.4,92,95,3.91
171,Poronaysk,RU,2020-08-24 01:39:58,49.22,143.12,59.9,86,100,6.51
172,Lazaro Cardenas,MX,2020-08-24 01:39:58,17.96,-102.2,80.2,85,35,2.21
173,Porto Santo,PT,2020-08-24 01:39:59,33.07,-16.34,73.4,83,40,11.41
174,De Aar,ZA,2020-08-24 01:39:59,-30.65,24.01,48.24,52,86,4.99
175,Wajima,JP,2020-08-24 01:39:59,37.4,136.9,82.4,74,40,5.82
176,Leningradskiy,RU,2020-08-24 01:40:00,69.38,178.42,45.07,85,100,11.59
177,Innisfail,AU,2020-08-24 01:40:00,-17.53,146.03,73.99,37,0,9.57
178,Phuket,TH,2020-08-24 01:40:00,8.0,98.25,84.99,78,20,2.24
179,Carlagan,PH,2020-08-24 01:40:00,14.97,122.05,87.69,66,100,6.17
180,East London,ZA,2020-08-24 01:35:36,-33.02,27.91,58.51,74,100,5.97
181,Benguela,AO,2020-08-24 01:40:01,-12.58,13.41,69.08,85,40,1.97
182,Santa Maria,BR,2020-08-24 01:40:01,-29.68,-53.81,53.96,84,0,7.43
183,Coahuayana,MX,2020-08-24 01:40:02,18.73,-103.68,80.1,84,94,2.06
184,Lebu,CL,2020-08-24 01:40:02,-37.62,-73.65,50.56,91,100,18.21
185,Faya,SA,2020-08-24 01:40:02,18.39,42.45,69.8,56,66,3.44
186,Wenling,CN,2020-08-24 01:40:03,28.37,121.36,80.01,66,34,3.36
187,Strezhevoy,RU,2020-08-24 01:40:03,60.73,77.59,53.6,93,75,4.47
188,Oranjemund,NA,2020-08-24 01:40:03,-28.55,16.43,52.11,93,0,6.58
189,Jacareacanga,BR,2020-08-24 01:40:03,-6.22,-57.75,75.34,44,0,1.45
190,Dwarka,IN,2020-08-24 01:40:03,22.24,68.97,83.1,82,100,20.62
191,Vao,NC,2020-08-24 01:38:01,-22.67,167.48,70.48,70,63,12.41
192,Nelson Bay,AU,2020-08-24 01:38:38,-32.72,152.15,60.01,44,0,13.87
193,Iqaluit,CA,2020-08-24 01:36:43,63.75,-68.51,42.8,81,40,5.82
194,Solwezi,ZM,2020-08-24 01:40:04,-12.17,26.39,50.76,81,61,4.54
195,Marzuq,YE,2020-08-24 01:40:05,14.4,46.47,78.48,57,100,7.72
196,Hun,LY,2020-08-24 01:40:05,29.13,15.95,70.66,62,0,2.57
197,Yumen,CN,2020-08-24 01:40:05,40.28,97.2,80.92,16,1,9.35
198,Barsovo,RU,2020-08-24 01:40:06,61.17,73.17,51.8,100,90,4.47
199,Nampula,MZ,2020-08-24 01:40:06,-15.12,39.27,62.6,93,20,4.7
200,Novodolinskiy,KZ,2020-08-24 01:40:06,49.7,72.7,48.2,87,98,2.24
201,Burns Lake,CA,2020-08-24 01:40:07,54.23,-125.75,59.85,58,100,3.0
202,Hambantota,LK,2020-08-24 01:40:07,6.12,81.12,77.0,100,20,2.24
203,Roald,NO,2020-08-24 01:39:38,62.58,6.13,48.2,81,75,17.22
204,Shingu,JP,2020-08-24 01:40:08,33.73,135.98,84.2,79,40,2.24
205,Havre-Saint-Pierre,CA,2020-08-24 01:40:08,50.23,-63.6,53.6,93,40,11.41
206,Qiryat Gat,IL,2020-08-24 01:37:13,31.61,34.76,77.0,30,0,3.0
207,Ilulissat,GL,2020-08-24 01:40:08,69.22,-51.1,41.0,80,0,2.24
208,Grindavik,IS,2020-08-24 01:40:09,63.84,-22.43,48.2,87,0,5.82
209,Zhuanghe,CN,2020-08-24 01:40:09,39.7,122.99,80.01,87,100,3.0
210,Challapata,BO,2020-08-24 01:40:10,-18.9,-66.77,40.93,58,0,3.22
211,Santa Isabel Do Rio Negro,BR,2020-08-24 01:40:10,-0.41,-65.02,75.27,68,0,1.59
212,Ler,SS,2020-08-24 01:40:10,8.3,30.14,71.28,96,78,3.06
213,Makakilo City,US,2020-08-24 01:40:10,21.35,-158.09,89.6,46,40,6.93
214,North Bend,US,2020-08-24 01:40:11,43.41,-124.22,75.0,77,1,23.04
215,Sayat,TM,2020-08-24 01:40:11,38.78,63.88,78.8,39,76,9.17
216,Sitka,US,2020-08-24 01:40:11,57.05,-135.33,57.2,87,90,3.36
217,Saint-Georges,GD,2020-08-24 01:39:58,12.06,-61.75,82.4,83,20,10.22
218,Hauterive,FR,2020-08-24 01:40:13,46.09,3.45,55.4,82,79,2.3
219,Yar-Sale,RU,2020-08-24 01:40:13,66.83,70.83,52.39,90,80,14.03
220,Nokaneng,BW,2020-08-24 01:40:13,-19.67,22.27,59.04,53,0,6.85
221,Salinas,US,2020-08-24 01:40:13,36.68,-121.66,66.99,72,20,10.29
222,Guerrero Negro,MX,2020-08-24 01:40:14,27.98,-114.06,76.24,66,0,18.28
223,Fortuna,US,2020-08-24 01:40:14,40.6,-124.16,59.0,93,90,11.41
224,New Norfolk,AU,2020-08-24 01:37:54,-42.78,147.06,51.01,74,92,1.99
225,Ahipara,NZ,2020-08-24 01:40:14,-35.17,173.17,58.01,80,90,17.27
226,Beringovskiy,RU,2020-08-24 01:40:15,63.05,179.32,54.73,76,56,6.08
227,Ampanihy,MG,2020-08-24 01:40:15,-24.7,44.75,63.23,78,1,6.89
228,Homer,US,2020-08-24 01:39:56,59.64,-151.55,57.99,88,62,5.99
229,Andenes,NO,2020-08-24 01:40:16,69.31,16.12,50.0,87,100,5.82
230,Ankang,CN,2020-08-24 01:40:17,32.68,109.02,71.28,89,100,2.84
231,Leshukonskoye,RU,2020-08-24 01:40:17,64.9,45.76,57.45,96,99,7.09
232,Chuy,UY,2020-08-24 01:40:18,-33.7,-53.46,53.62,88,0,10.33
233,Srednekolymsk,RU,2020-08-24 01:40:18,67.45,153.68,39.92,72,100,10.38
234,Panguna,PG,2020-08-24 01:40:18,-6.32,155.48,79.75,69,100,3.78
235,Tuatapere,NZ,2020-08-24 01:40:18,-46.13,167.68,60.01,71,7,5.01
236,Vestmannaeyjar,IS,2020-08-24 01:40:19,63.44,-20.27,51.85,74,6,4.41
237,Batabano,CU,2020-08-24 01:40:19,22.72,-82.29,82.4,88,40,11.41
238,Lorengau,PG,2020-08-24 01:40:19,-2.02,147.27,76.21,89,100,2.21
239,Izberbash,RU,2020-08-24 01:40:20,42.57,47.86,66.2,59,19,8.95
240,Saldanha,ZA,2020-08-24 01:39:19,-33.01,17.94,51.8,87,86,3.36
241,Phaltan,IN,2020-08-24 01:40:20,17.98,74.43,74.77,81,100,10.22
242,Broome,US,2020-08-24 01:40:21,42.25,-75.83,72.0,77,20,3.78
243,Nakur,IN,2020-08-24 01:40:21,29.92,77.3,79.83,83,2,9.1
244,Olafsvik,IS,2020-08-24 01:38:26,64.89,-23.71,49.68,74,0,4.0
245,Hasaki,JP,2020-08-24 01:40:22,35.73,140.83,86.0,70,75,11.41
246,Ambon,ID,2020-08-24 01:40:22,-3.7,128.18,80.58,76,14,14.45
247,Padang,ID,2020-08-24 01:40:23,-0.95,100.35,84.65,60,93,1.25
248,Pecos,US,2020-08-24 01:40:23,31.42,-103.49,95.0,23,1,14.99
249,Bonavista,CA,2020-08-24 01:40:23,48.65,-53.11,62.01,76,84,8.99
250,Richards Bay,ZA,2020-08-24 01:40:23,-28.78,32.04,60.49,82,0,2.48
251,Plettenberg Bay,ZA,2020-08-24 01:40:24,-34.05,23.37,58.1,85,100,6.2
252,Mpika,ZM,2020-08-24 01:40:24,-11.83,31.45,56.07,80,14,8.32
253,Coihaique,CL,2020-08-24 01:37:53,-45.58,-72.07,33.8,95,20,5.82
254,Phayao,TH,2020-08-24 01:40:25,19.25,100.25,73.78,96,100,4.68
255,Kavieng,PG,2020-08-24 01:38:06,-2.57,150.8,76.14,91,100,5.55
256,Pinega,RU,2020-08-24 01:40:25,64.7,43.39,59.2,93,100,7.43
257,Canon City,US,2020-08-24 01:40:25,38.44,-105.24,89.6,14,1,9.17
258,Byron Bay,AU,2020-08-24 01:40:26,-28.65,153.62,64.99,33,0,11.41
259,Arona,ES,2020-08-24 01:40:26,28.1,-16.68,75.2,64,0,5.82
260,Saravena,CO,2020-08-24 01:40:26,6.95,-71.88,73.27,90,100,1.41
261,Bilibino,RU,2020-08-24 01:40:27,68.05,166.44,40.5,85,100,4.76
262,Suntar,RU,2020-08-24 01:40:27,62.14,117.63,59.47,43,0,6.2
263,Marawi,PH,2020-08-24 01:40:28,8.0,124.29,82.0,82,75,5.01
264,Bambous Virieux,MU,2020-08-24 01:40:28,-20.34,57.76,72.0,73,40,16.11
265,Puqi,CN,2020-08-24 01:40:28,29.72,113.88,90.99,62,0,8.97
266,Kurchum,KZ,2020-08-24 01:40:28,48.57,83.65,70.32,38,99,3.42
267,Kapaa,US,2020-08-24 01:38:00,22.08,-159.32,86.0,66,1,12.75
268,Manokwari,ID,2020-08-24 01:40:29,-0.87,134.08,78.69,81,100,7.29
269,Inirida,CO,2020-08-24 01:40:29,3.87,-67.92,72.34,94,96,1.63
270,Isangel,VU,2020-08-24 01:40:29,-19.55,169.27,78.8,94,75,7.2
271,Mount Isa,AU,2020-08-24 01:40:30,-20.73,139.5,71.6,17,0,10.29
272,Kyshtovka,RU,2020-08-24 01:40:30,56.55,76.63,53.71,92,12,6.29
273,Toamasina,MG,2020-08-24 01:40:30,-18.17,49.38,64.87,87,100,7.02
274,Hamilton,US,2020-08-24 01:40:30,39.18,-84.53,77.0,73,20,3.36
275,Bajil,YE,2020-08-24 01:40:31,15.06,43.29,88.79,58,41,3.2
276,Mitu,CO,2020-08-24 01:40:31,1.2,-70.17,73.13,77,29,0.96
277,Ravar,IR,2020-08-24 01:40:31,31.27,56.81,76.39,21,0,4.0
278,Esperance,AU,2020-08-24 01:40:32,-33.87,121.9,55.4,100,75,8.05
279,Maumere,ID,2020-08-24 01:40:32,-8.62,122.21,82.35,59,0,1.57
280,Wad Madani,SD,2020-08-24 01:40:32,14.4,33.52,78.3,74,100,17.29
281,Vila Velha,BR,2020-08-24 01:36:38,-20.33,-40.29,71.01,77,5,13.87
282,Pueblo Nuevo Vinas,GT,2020-08-24 01:40:34,14.23,-90.47,66.2,82,75,6.93
283,Shakawe,BW,2020-08-24 01:40:35,-18.37,21.85,58.3,53,0,4.63
284,Chimore,BO,2020-08-24 01:40:35,-16.98,-65.13,62.55,72,0,2.91
285,Macklin,CA,2020-08-24 01:40:35,52.33,-109.93,64.33,59,1,7.92
286,Pisco,PE,2020-08-24 01:40:36,-13.7,-76.22,61.0,87,90,12.75
287,Komsomolskiy,UZ,2020-08-24 01:40:36,40.43,71.72,69.8,40,0,6.93
288,Norman Wells,CA,2020-08-24 01:40:36,65.28,-126.83,69.8,46,40,17.22
289,Fairbanks,US,2020-08-24 01:36:10,64.84,-147.72,69.8,46,20,5.64
290,Baruun-Urt,MN,2020-08-24 01:40:37,46.68,113.28,70.16,53,21,5.53
291,Aranos,NA,2020-08-24 01:40:37,-24.13,19.12,54.57,48,0,9.28
292,Kattivakkam,IN,2020-08-24 01:40:37,13.22,80.32,78.8,83,75,8.05
293,Flin Flon,CA,2020-08-24 01:40:38,54.77,-101.86,57.34,75,41,11.25
294,Storforshei,NO,2020-08-24 01:40:38,66.4,14.52,43.2,76,86,3.56
295,Namibe,AO,2020-08-24 01:39:59,-15.2,12.15,64.35,92,93,1.1
296,Lake Shore,US,2020-08-24 01:40:38,39.11,-76.48,80.01,88,40,4.7
297,Ahuimanu,US,2020-08-24 01:40:38,21.44,-157.84,89.6,66,40,9.17
298,Limbang,MY,2020-08-24 01:40:39,4.75,115.0,80.6,83,75,3.36
299,Georgetown,MY,2020-08-24 01:40:39,5.41,100.34,84.2,83,20,5.82
300,New Bern,US,2020-08-24 01:40:39,35.11,-77.04,75.0,94,40,4.7
301,Port Hardy,CA,2020-08-24 01:40:42,50.7,-127.42,62.6,67,75,10.29
302,Broken Hill,AU,2020-08-24 01:38:11,-31.95,141.43,51.8,50,75,6.93
303,Xaxim,BR,2020-08-24 01:40:42,-26.96,-52.53,47.14,91,0,4.85
304,Kaitangata,NZ,2020-08-24 01:40:42,-46.28,169.85,53.01,91,43,8.99
305,Kerouane,GN,2020-08-24 01:40:43,9.27,-9.02,69.96,94,100,2.98
